county_name,county_code
ARKANSAS,01 - ARKANSAS
ASHLEY,02 - ASHLEY
BAXTER,03 - BAXTER
BENTON,04 - BENTON
BOONE,05 - BOONE
BRADLEY,06 - BRADLEY
CALHOUN,07 - CALHOUN
CARROLL,08 - CARROLL
CHICOT,09 - CHICOT
CLARK,10 - CLARK
CLAY,11 - CLAY
CLEBURNE,12 - CLEBURNE
CLEBURNE,13 - CLEVELAND
COLUMBIA,14 - COLUMBIA
CONWAY,15 - CONWAY
CRAIGHEAD,16 - CRAIGHEAD
CRAWFORD,17 - CRAWFORD
CRITTENDEN,18 - CRITTENDEN
CROSS,19 - CROSS
DALLAS,20 - DALLAS
DESHA,21 - DESHA
DREW,22 - DREW
FAULKNER,23 - FAULKNER
FRANKLIN,24 - FRANKLIN
FULTON,25 - FULTON
GARLAND,26 - GARLAND
GRANT,27 - GRANT
GREENE,28 - GREENE
HEMPSTEAD,29 - HEMPSTEAD
HOT SPRING,30 - HOT SPRING
HOWARD,31 - HOWARD
INDEPENDENCE,32 - INDEPENDENCE
IZARD,33 - IZARD
JACKSON,34 - JACKSON
JEFFERSON,35 - JEFFERSON
JOHNSON,36 - JOHNSON
LAFAYETTE,37 - LAFAYETTE
LAWRENCE,38 - LAWRENCE
LEE,39 - LEE
LINKOLN,40 - LINKOLN
LITTLE RIVER,41 - LITTLE RIVER
LOGAN,42 - LOGAN
LONOKE,43 - LONOKE
MADISON,44 - MADISON
MARION,45 - MARION
MILLER,46 - MILLER
MISSISSIPPI,47 - MISSISSIPPI
MONROE,48 - MONROE
MONTGOMERY,49 - MONTGOMERY
NEVADA,50 - NEVADA
NEWTON,51 - NEWTON
OUACHITA,52 - OUACHITA
PERRY,53 - PERRY
PHILLIPS,54 - PHILLIPS
PIKE,55 - PIKE
POINSETT,56 - POINSETT
POLK,57 - POLK
POPE,58 - POPE
PRAIRIE,59 - PRAIRIE
PULASKI,60 - PULASKI
RANDOLF,61 - RANDOLF
ST. FRANCIS,62 - ST. FRANCIS
SALINE,63 - SALINE
SCOTT,64 - SCOTT
SEARCY,65 - SEARCY
SEBASTIAN,66 - SEBASTIAN
SEVIER,67 - SEVIER
SHARP,68 - SHARP
STONE,69 - STONE
UNION,70 - UNION
VAN BUREN,71 - VAN BUREN
WASHINGTON,72 - WASHINGTON
WHITE,73 - WHITE
WOODRUFF,74 - WOODRUFF
YELL,75 - YELL
STATE OF ARKANSAS,AR - STATE OF ARKANSAS
